"id","year","album","song","danceability","energy","mode","speechiness","acousticness","liveness","valence","duration_ms","vocals"
45,1964,"Beatles for Sale","rock and roll music",0.457,0.917,1,0.0441,0.566,0.333,0.965,151280,0
14,1963,"Please Please Me","Twist and Shout",0.482,0.849,1,0.0452,0.641,0.0414,0.937,155227,0
183,1970,"Let It Be","dig a pony",0.538,0.478,0,0.0388,0.472,0.17,0.527,235000,0
157,1969,"Yellow Submarine","all you need is love",0.4,0.463,1,0.0288,0.345,0.286,0.627,231213,0
130,1968,"The Beatles (white album)","martha my dear",0.472,0.292,1,0.0321,0.872,0.128,0.824,148573,1
62,1965,"Help!","ticket to ride",0.519,0.85,1,0.0678,0.0457,0.233,0.749,189680,0
124,1968,"The Beatles (white album)","glass onion",0.523,0.51,0,0.0514,0.0123,0.108,0.789,137840,0
127,1968,"The Beatles (white album)","the continue story of bungalow bill",0.621,0.459,1,0.104,0.224,0.656,0.648,194160,0
180,1969,"Abbey Road","the end ",0.647,0.487,0,0.0689,0.00101,0.138,0.222,141613,1
122,1968,"The Beatles (white album)","back in the ussr",0.48,0.969,1,0.0854,0.069,0.0608,0.494,163453,1
28,1963,"With The Beatles","Money(That's What I Want)",0.545,0.853,0,0.0394,0.425,0.266,0.923,169507,0
57,1965,"Help!","the night before",0.461,0.762,1,0.0379,0.0537,0.238,0.632,154933,1
144,1968,"The Beatles (white album)","helter skelter",0.166,0.831,1,0.0894,0.000606,0.811,0.281,269787,1
165,1969,"Abbey Road","come together",0.533,0.376,0,0.0393,0.0302,0.0926,0.187,259947,0
71,1965,"Rubber Soul","norwegian wood",0.425,0.369,1,0.0379,0.183,0.112,0.65,124693,0
120,1967,"Magical Mystery Tour","baby, youre a rich man",0.619,0.625,1,0.036,0.0119,0.152,0.467,181307,0
40,1964,"A Hard Day's Night","you cant do that",0.612,0.788,1,0.0335,0.367,0.382,0.961,154893,0
46,1964,"Beatles for Sale","ill follow the sun",0.689,0.313,1,0.0366,0.789,0.144,0.625,108853,1
98,1967,"Sgt. Pepper's Lonely Hearts Club Band","sgt.peppers lonely hearts club band",0.451,0.673,1,0.0734,0.0857,0.797,0.583,122893,1
90,1966,"Revolver","she said she said ",0.329,0.678,1,0.0344,0.103,0.843,0.672,156040,0
178,1969,"Abbey Road","golden slumbers",0.419,0.152,1,0.0277,0.326,0.113,0.239,91760,1
134,1968,"The Beatles (white album)","rocky raccoon",0.599,0.363,1,0.0315,0.333,0.243,0.648,213107,1
138,1968,"The Beatles (white album)","julia",0.512,0.0953,1,0.0304,0.828,0.117,0.193,176667,0
67,1965,"Help!","ive just seen a face",0.647,0.56,1,0.0387,0.723,0.118,0.913,125040,1
60,1965,"Help!","another girl",0.516,0.638,1,0.0314,0.238,0.333,0.822,125360,1
170,1969,"Abbey Road","I want you(she's so heavy)",0.37,0.515,0,0.0321,0.0233,0.0966,0.42,467320,0
102,1967,"Sgt. Pepper's Lonely Hearts Club Band","fixing a hole",0.469,0.507,0,0.0451,0.382,0.0783,0.619,156827,1
23,1963,"With The Beatles","Hold Me Tight",0.54,0.744,1,0.0312,0.664,0.21,0.963,151907,1
176,1969,"Abbey Road","polythene pam",0.474,0.939,0,0.199,0.00472,0.19,0.499,72640,0
147,1968,"The Beatles (white album)","honey pie",0.537,0.297,1,0.0822,0.88,0.145,0.553,161160,1
38,1964,"A Hard Day's Night","things we said today",0.551,0.575,0,0.0332,0.239,0.112,0.516,155333,1
132,1968,"The Beatles (white album)","blackbird",0.686,0.127,1,0.0342,0.754,0.0573,0.372,138387,1
137,1968,"The Beatles (white album)","I will",0.631,0.387,1,0.0262,0.742,0.0822,0.832,105933,1
79,1965,"Rubber Soul","im looking through you ",0.667,0.498,1,0.0364,0.00772,0.0481,0.774,146387,1
146,1968,"The Beatles (white album)","revolution 1",0.386,0.626,1,0.0377,0.0785,0.621,0.695,255707,0
123,1968,"The Beatles (white album)","dear prudence ",0.388,0.529,1,0.0436,0.16,0.108,0.332,235773,0
193,1970,"Let It Be","get back",0.761,0.592,1,0.0586,0.492,0.61,0.332,189387,1
30,1964,"A Hard Day's Night","I should Have Known Better",0.682,0.444,1,0.0289,0.257,0.115,0.91,163080,0
88,1966,"Revolver","here, there and everywhere",0.29,0.247,1,0.0383,0.921,0.0917,0.36,144880,1
54,1964,"Beatles for Sale","What youre doing",0.695,0.53,1,0.0403,0.301,0.0583,0.825,150040,1
12,1963,"Please Please Me","Taste of Honey",0.42,0.372,0,0.0327,0.698,0.104,0.412,123480,1
136,1968,"The Beatles (white album)","why don't we do it in the road?",0.589,0.522,1,0.0521,0.53,0.0993,0.957,101160,1
15,1963,"With The Beatles","It Wont Be Long",0.472,0.673,1,0.0318,0.284,0.206,0.862,133387,0
39,1964,"A Hard Day's Night","when I get home",0.568,0.793,0,0.0482,0.384,0.388,0.64,136640,0
167,1969,"Abbey Road","maxwells silver hammer",0.764,0.426,1,0.0405,0.629,0.132,0.726,207920,1
68,1965,"Help!","yesterday",0.332,0.179,1,0.0326,0.879,0.0886,0.315,125667,1
97,1966,"Revolver","tomorrow never knows",0.38,0.829,1,0.0405,8.4e-05,0.342,0.0534,179547,0
80,1965,"Rubber Soul","in my life",0.688,0.435,1,0.0323,0.449,0.113,0.435,146333,0
33,1964,"A Hard Day's Night","And I Love Her",0.767,0.331,0,0.0337,0.64,0.0681,0.636,149693,1
117,1967,"Magical Mystery Tour","hello, goodbye",0.479,0.733,1,0.0256,0.306,0.414,0.806,208840,1
9,1963,"Please Please Me","P.S. I Love You",0.635,0.656,1,0.0291,0.389,0.0828,0.77,124360,1
112,1967,"Magical Mystery Tour","the fool on the hill",0.365,0.26,0,0.0314,0.913,0.105,0.49,179107,1
10,1963,"Please Please Me","Baby It's You",0.608,0.494,0,0.0345,0.778,0.0926,0.879,160520,0
184,1970,"Let It Be","across the universe",0.257,0.412,1,0.0287,0.361,0.0702,0.858,228133,0
187,1970,"Let It Be","let it be ",0.443,0.403,1,0.0322,0.631,0.111,0.41,243027,1
155,1969,"Yellow Submarine","hey bulldog",0.587,0.617,1,0.028,0.0197,0.199,0.947,191307,0
131,1968,"The Beatles (white album)","im so tired",0.433,0.483,1,0.175,0.656,0.539,0.717,123493,0
69,1965,"Help!","dizzy miss lizzy",0.373,0.934,1,0.0591,0.116,0.0962,0.918,176507,0
191,1970,"Let It Be","the long and winding road",0.299,0.329,1,0.0279,0.756,0.0559,0.392,218187,1
61,1965,"Help!","youre going to lose that girl",0.533,0.66,1,0.0337,0.346,0.26,0.818,138667,0
93,1966,"Revolver","for no one",0.483,0.351,0,0.0278,0.783,0.115,0.713,119813,1
21,1963,"With The Beatles","Please Mister Postman",0.552,0.644,1,0.0372,0.675,0.36,0.961,154160,0
83,1965,"Rubber Soul","run for your life",0.563,0.705,1,0.103,0.0103,0.0552,0.822,141093,0
107,1967,"Sgt. Pepper's Lonely Hearts Club Band","lovely rita",0.61,0.471,0,0.0261,0.0634,0.118,0.63,162093,1
177,1969,"Abbey Road","she came in through the bathroom window",0.53,0.72,1,0.0338,0.00376,0.314,0.69,118627,1
175,1969,"Abbey Road","mean mr mustard",0.676,0.596,1,0.0272,0.0699,0.351,0.97,66533,0
6,1963,"Please Please Me","Ask Me Why",0.605,0.394,1,0.0378,0.767,0.0967,0.597,146533,0
58,1965,"Help!","you've got to hide your love away",0.398,0.392,1,0.0282,0.207,0.102,0.378,129120,0
121,1967,"Magical Mystery Tour","all you need is love",0.4,0.48,1,0.0295,0.346,0.155,0.653,230387,0
48,1964,"Beatles for Sale","kansas city/ Hey-Hey-Hey-Hey",0.588,0.724,1,0.0335,0.614,0.877,0.924,158147,1
64,1965,"Help!","its only love",0.629,0.551,1,0.0256,0.22,0.0432,0.685,116480,0
116,1967,"Magical Mystery Tour","I am the walrus",0.401,0.556,1,0.0513,0.0828,0.589,0.654,275867,0
